code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_fr	nova_group	pnns_groups_1	pnns_groups_2	states	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
9311336003544	https://world.openfoodfacts.org/product/9311336003544	clockwerx	1554696173	1554696243	fruitylicious tomato juice		350 ml	plastic	plastic	nippy's	nippy-s	Tomato juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:plant-based-beverages,en:vegetables-based-foods,en:juices-and-nectars,en:vegetable-based-foods-and-beverages,en:tomatoes-and-tomato-products,en:vegetable-based-beverages,en:vegetable-juices,en:tomato-juices,en:non-alcoholic-beverages,en:sweetened-beverages													en:Australia	INGREDIENTS: RECONSTITUTED TOMATO JUICE (98.2%), SUGAR, SALT, VITAMIN C (300).								1	en:e300	0			0				3	Beverages	Sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:tomato-juices	https://static.openfoodfacts.org/images/products/931/133/600/3544/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/ingredients_en.7.400.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/ingredients_en.7.200.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/nutrition_en.10.400.jpg	https://static.openfoodfacts.org/images/products/931/133/600/3544/nutrition_en.10.200.jpg																																																																																																											
9315596002491	https://world.openfoodfacts.org/product/9315596002491	ethanpopov	1406518973	1552174811	Original Lemon Thirst Crusher Solo Since 1973 No artificial colour and flavour		1.25L			Solo,Schweppes Australia	solo,schweppes-australia	Beverages, Carbonated drinks, Sodas, Sweetened beverages	en:beverages,en:carbonated-drinks,en:sodas,en:sweetened-beverages,en:non-alcoholic-beverages	Australia,Imported Unknown	australia,imported-unknown	Australia	australia								Coles,Bilo,Woolworths,IGA,Dan Murphys	Australia	Carbonated Water, Sugar, Reconstituted Lemon Juice (5%), Food Acids (330, 331), Flavour, Preservatives (211,223), Colour (102).					250ml	250		5	en:e102,en:e211,en:e223,en:e330,en:e331	0			0			e	4	Beverages	Sweetened beverages	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:sodas	https://static.openfoodfacts.org/images/products/931/559/600/2491/front_en.17.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2491/front_en.17.200.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2491/front_en.17.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2491/front_en.17.200.jpg			https://static.openfoodfacts.org/images/products/931/559/600/2491/nutrition_en.9.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2491/nutrition_en.9.200.jpg	200		0	0																																			11.5	11.5										0.05				0.04572	0.018																																												15	2							
22000217	https://world.openfoodfacts.org/product/22000217	foodorigins	1451100806	1548663981	Cola		1.25L	Plastic Bottle	plastic-bottle	Regal,Aldi	regal,aldi	Beverages, Carbonated drinks, Sodas, Colas, Sweetened beverages	en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:sweetened-beverages,en:non-alcoholic-beverages	Australia	australia	Australia	australia	Vegetarian, Vegan, Australian made, No artificial colors, No artificial colours or flavours, No artificial flavors	en:vegetarian,en:no-artificial-flavors,en:vegan,en:australian-made,en:no-artificial-colors,en:no-artificial-colours-or-flavours					NSW,Australia	Aldi	Australia	Carbonated Water, Sugar, Coloiur (150d), Acidity Regulator (338), Caffeine, Natural Flavour.					250ml	250		2	en:e150d,en:e338	0			0			e	4	Beverages	Sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:colas	https://static.openfoodfacts.org/images/products/22000217/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/22000217/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/22000217/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/22000217/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/22000217/ingredients_en.8.400.jpg	https://static.openfoodfacts.org/images/products/22000217/ingredients_en.8.200.jpg	https://static.openfoodfacts.org/images/products/22000217/nutrition_en.9.400.jpg	https://static.openfoodfacts.org/images/products/22000217/nutrition_en.9.200.jpg	196		0	0																																			11.5	11.5										0				0.0127	0.005																																												15	2							
9311493003517	https://world.openfoodfacts.org/product/9311493003517	daviewales	1548035014	1548035432	Apple Cider Brewed Softdrink		1	glass	glass	Bundaberg	bundaberg	Beverages, Plant-based foods and beverages, Plant-based beverages, Carbonated drinks, Fruit-based beverages, Sodas, Fruit sodas, Apple soft drinks	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:carbonated-drinks,en:sodas,en:fruit-sodas,en:apple-soft-drinks,en:non-alcoholic-beverages,en:sweetened-beverages			Australia	australia							Australia	Coles, Woolworths	en:AU	Apple Juice from Concentrate 70%, Water, Cane Sugar, Acid (Citric Acid, Malic Acid), Natural Apple Flavour, Carbon DIoxide, Preservative (211), Yeast.					375g	375		4	en:e211,en:e290,en:e296,en:e330	0			0				4	Beverages	Sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:apple-soft-drinks	https://static.openfoodfacts.org/images/products/931/149/300/3517/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/ingredients_en.7.400.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/ingredients_en.7.200.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/nutrition_en.10.400.jpg	https://static.openfoodfacts.org/images/products/931/149/300/3517/nutrition_en.10.200.jpg	194		1	1																																			9.8	9.8														0.03302	0.013																																																				
41174203	https://world.openfoodfacts.org/product/41174203	clockwerx	1547688404	1547688545	organic cola		330ml	glass, bottle	glass,bottle	simple organics	simple-organics	Beverages, Carbonated drinks, Sodas, Colas	en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:non-alcoholic-beverages,en:sweetened-beverages													en:AU																			Beverages	Sweetened beverages	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:colas	https://static.openfoodfacts.org/images/products/41174203/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/41174203/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/41174203/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/41174203/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/41174203/ingredients_en.7.400.jpg	https://static.openfoodfacts.org/images/products/41174203/ingredients_en.7.200.jpg	https://static.openfoodfacts.org/images/products/41174203/nutrition_en.10.400.jpg	https://static.openfoodfacts.org/images/products/41174203/nutrition_en.10.200.jpg																																																																																																											
9315596002477	https://world.openfoodfacts.org/product/9315596002477	openfoodfacts-contributors	1424770948	1547045835	Schweppes Dry Ginger Ale	Dry ginger ale	1.25 L	Plastic bottle	plastic-bottle	Schweppes Australia,Asahi Breweries, Schweppes	schweppes-australia,asahi-breweries,schweppes	Beverages, Carbonated drinks, Sodas, Sweetened beverages, Mixer	en:beverages,en:carbonated-drinks,en:sodas,en:sweetened-beverages,en:mixer,en:non-alcoholic-beverages	Australia	australia	Australia	australia							Melbourne,Victoria,Australia	Piedemonte's IGA	Australia	Carbonated water, sugar, natural flavour, food acids (E330, E331), colour (caramel E150d), preservative (E211)					250ml	250		4	en:e150d,en:e211,en:e330,en:e331	0			0			e	4	Beverages	Sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:sodas	https://static.openfoodfacts.org/images/products/931/559/600/2477/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/ingredients_en.8.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/ingredients_en.8.200.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/nutrition_en.12.400.jpg	https://static.openfoodfacts.org/images/products/931/559/600/2477/nutrition_en.12.200.jpg	135		0	0																																			7.6	7.6										0				0.04318	0.017																																												11	1							
8435185944009	https://world.openfoodfacts.org/product/8435185944009	foodorigins	1449125501	1544955898	Dr Pepper	Carbonated soft drink with sugar and sweeteners	330 ml	Canned,Metal,aluminium	canned,metal,aluminium	Dr pepper	dr-pepper	Beverages, Carbonated drinks, Sodas, Sweetened beverages	en:beverages,en:carbonated-drinks,en:sodas,en:sweetened-beverages,en:non-alcoholic-beverages	Poland,Imported Unknown	poland,imported-unknown	Poland	poland	Green Dot	en:green-dot						The Reject Shop,BILLA	Australie,France,Russie,Belgique		fr:Caramel E150d	fr:caramel-e150d														d		Beverages	Sweetened beverages	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:sodas	https://static.openfoodfacts.org/images/products/843/518/594/4009/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/ingredients_en.8.400.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/ingredients_en.8.200.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/nutrition_en.9.400.jpg	https://static.openfoodfacts.org/images/products/843/518/594/4009/nutrition_en.9.200.jpg	117		0	0																																			7.2	6.9									0	0				0	0																																												9	1							
9002490100759	https://world.openfoodfacts.org/product/9002490100759	openfoodfacts-contributors	1540174530	1540174947	Energy drink		pack of 4 250ml each			Red bull	red-bull	Beverages, Energy drinks	en:beverages,en:energy-drinks,en:non-alcoholic-beverages,en:sweetened-beverages	Austria	austria											Australia	Ingredients: Carbonated Water, Sucrose, Glucose, Acidity Regulator. (Citric Acid, Sodium Bicarbonate, Magnesium Carbonate) (0.4%), Flavours, Colours (Caramel 1, Riboflavin), Caffeine (0.03%), Vitamins (Niacinamide, Pantothenic Acid, Bó, B12) CONTAINS CAFFEINE. NOT RECOMMENDED FOR CHILDREN, laurine PREGNANT OR LACTATING WOMEN OR CAFFEINE SENSITIVE PERSONS. USAGE: 2 CANS MAX. DAILY. Pasteurised. Best before and Lot ID-See base of can			en:caffeine	en:caffeine		0		5	en:e101,en:e101i,en:e150,en:e330,en:e500,en:e500ii,en:e504,en:e504i	0			0				4	Beverages	Sweetened beverages	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:energy-drinks	https://static.openfoodfacts.org/images/products/900/249/010/0759/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/ingredients_en.9.400.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/ingredients_en.9.200.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/nutrition_en.12.400.jpg	https://static.openfoodfacts.org/images/products/900/249/010/0759/nutrition_en.12.200.jpg																																																																																																											
9556041612081	https://world.openfoodfacts.org/product/9556041612081	openfoodfacts-contributors	1424053634	1539062097	Ayam Pure Coconut Water	Coconut Water	330 ml	Carton,tetra briq,brique	carton,tetra-briq,brique	Ayam	ayam	Beverages, Plant-based foods and beverages, Plant-based beverages, Coconut waters, Sweetened beverages	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:coconut-waters,en:sweetened-beverages,en:non-alcoholic-beverages	Malaisie	malaisie	Malaisie	malaisie								Coles,Bilo	Australia, France	Coconut water (98%), sugar					330 ml	330		0		0			0			d	3	Beverages	Sweetened beverages	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:coconut-waters	https://static.openfoodfacts.org/images/products/955/604/161/2081/front_en.3.400.jpg	https://static.openfoodfacts.org/images/products/955/604/161/2081/front_en.3.200.jpg	https://static.openfoodfacts.org/images/products/955/604/161/2081/front_en.3.400.jpg	https://static.openfoodfacts.org/images/products/955/604/161/2081/front_en.3.200.jpg					76.1		0	0																																			4.55	4									0	0				0.0885	0.0348																			0.192																									6	0							
0078895126396	https://world.openfoodfacts.org/product/0078895126396	foodorigins	1424076905	1533917044	Lee Kum Kee Premium Soy Sauce		500ml	Bottle	bottle	Lee Kum Kee	lee-kum-kee	Beverages, Sweetened beverages, Asian-foods, Asian-grocery, Chinese-foods	en:beverages,en:sweetened-beverages,en:asian-foods,en:asian-grocery,en:chinese-foods,en:non-alcoholic-beverages	China	china	China	china	No preservatives	en:no-preservatives					Sydney,NSW,Australia	Coles,Bilo,Asian Supermarkets,Woolworths	Australia, France, United States	Water, salt, soybeans, sugar, wheat flour, sodium benzoate added as a preservative, disodium 5'-inosinate and disodium 5'-guanylate as flavor enhancers.		en:gluten,en:soybeans			15 ml (1 Tbsp)	15		0		0			0			e	3	Beverages	Sweetened beverages	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:sweetened-beverages	https://static.openfoodfacts.org/images/products/007/889/512/6396/front_en.11.400.jpg	https://static.openfoodfacts.org/images/products/007/889/512/6396/front_en.11.200.jpg	https://static.openfoodfacts.org/images/products/007/889/512/6396/front_en.11.400.jpg	https://static.openfoodfacts.org/images/products/007/889/512/6396/front_en.11.200.jpg	https://static.openfoodfacts.org/images/products/007/889/512/6396/ingredients_en.6.400.jpg	https://static.openfoodfacts.org/images/products/007/889/512/6396/ingredients_en.6.200.jpg			385		0	0																																			14	10										7.7				17	6.69291338582677																																												27	13							
9310036041337	https://world.openfoodfacts.org/product/9310036041337	foodorigins	1467278855	1533916949	Real Coffee Ice Break Extra Shot		750 ml	plastique,bouteille,frais	plastique,bouteille,frais	Parmalat	parmalat	Beverages, Dairies, Dairy drinks, Coffee drinks, Coffee milks, Sweetened beverages	en:beverages,en:dairies,en:dairy-drinks,en:coffee-drinks,en:coffee-milks,en:sweetened-beverages,en:non-alcoholic-beverages					No colorings, No flavors, No preservatives	en:no-colorings,en:no-flavors,en:no-preservatives					Autralie,France		Australia, France	PASTEURISED COFFEE. Noadde flavours, colours or preservatives. CONTAINS LESSFATTHANFULLCREAMMILK.					500 ml	500		0		0			0			b	1	Beverages	Sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:coffee-milks	https://static.openfoodfacts.org/images/products/931/003/604/1337/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/front_en.6.400.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/front_en.6.200.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/ingredients_en.13.400.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/ingredients_en.13.200.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/nutrition_en.7.400.jpg	https://static.openfoodfacts.org/images/products/931/003/604/1337/nutrition_en.7.200.jpg	300		1.7	1.1																																			10.3	9.6									0	3.7				0.1016	0.04																																	0.041											1	1							
